period,type1_attendances,type2_attendances,type3_attendances,total_attendances,emerg_admissions_type1,emerg_admissions_type2,emerg_admissions_type3,total_emerg_admissions_ae,other_emerg_admissions,total_emerg_admissions,dtoa_over_4hr,dtoa_over_12hr,total_seen_4hr,type1_seen_4hr,type2_seen_4hr,type3_seen_4hr,total_breach_4hr,pct_4hr_all,pct_4hr_type1,pct_4hr_type2,pct_4hr_type3
2020-05-01,924218.0,26479.0,311140.0,1261837.0,308798.0,1165.0,2756.0,312719.0,85687.0,398406.0,13457.0,93.0,1049584.0,71894.0,57.0,910.0,72861.0,0.9350872425820419,0.9115850471565272,0.9975525976814084,0.9968183153154413
2020-06-01,1016132.0,30894.0,363576.0,1410602.0,332910.0,1344.0,3455.0,337709.0,99892.0,437601.0,17881.0,159.0,1165135.0,89368.0,152.0,1191.0,90711.0,0.9277690098945253,0.9002326505642111,0.9942874323511726,0.9964285071699742
2020-07-01,1120421.0,32759.0,435106.0,1588286.0,358671.0,1340.0,3372.0,363383.0,109843.0,473226.0,21025.0,271.0,1301061.0,111270.0,163.0,1845.0,113278.0,0.9199074620723886,0.8872683210507439,0.9940942028985508,0.9953840957706308
2020-08-01,1179019.0,32231.0,507753.0,1719003.0,365503.0,1217.0,3488.0,370208.0,104017.0,474225.0,32159.0,335.0,1367700.0,162951.0,313.0,2835.0,166099.0,0.8917074531930195,0.8432366078514937,0.9885242896425298,0.993930025072101
2020-09-01,1163948.0,33295.0,496637.0,1693880.0,365705.0,1208.0,3682.0,370595.0,109260.0,479855.0,44996.0,346.0,1319940.0,188521.0,287.0,3286.0,192094.0,0.8729565605006236,0.8163077189908866,0.9897390060779406,0.9928218324642785
2020-10-01,1111958.0,33012.0,454377.0,1599347.0,367175.0,1270.0,3514.0,371959.0,109887.0,481846.0,66794.0,1268.0,1198227.0,218178.0,317.0,2507.0,221002.0,0.8442802394821414,0.7758909541002634,0.9881923492382761,0.9940145208154768
2020-11-01,1036350.0,31872.0,416954.0,1485176.0,343989.0,1155.0,3533.0,348677.0,105239.0,453916.0,71041.0,2148.0,1104337.0,210250.0,366.0,2137.0,212753.0,0.8384673788427518,0.7682107523752196,0.9859035587736866,0.994435649339152
2020-12-01,1039474.0,29838.0,405362.0,1474674.0,351824.0,1146.0,3535.0,356505.0,103755.0,460260.0,89927.0,3745.0,1049849.0,255051.0,261.0,2542.0,257854.0,0.8028191416552535,0.7204304729041685,0.989247311827957,0.9931506664762577
2021-01-01,941194.0,25744.0,343868.0,1310806.0,343534.0,1085.0,3426.0,348045.0,97555.0,445600.0,95695.0,3825.0,912775.0,247232.0,253.0,2326.0,249811.0,0.7851247133545389,0.7005346557199925,0.9880423480480197,0.992635744815577
2021-02-01,903771.0,27972.0,346348.0,1278091.0,318460.0,1101.0,3485.0,323046.0,99378.0,422424.0,57152.0,1021.0,951715.0,179397.0,357.0,2581.0,182335.0,0.8392178475375865,0.773622404942534,0.9843845682792407,0.9919019829317269
